Designator,Mid X,Mid Y,Rotation,Layer
AM0,92.499999,-132.9,270.0,bottom
AM0:0,44.874999,-94.8,0.0,top
AM0:1,82.974999,-94.8,0.0,top
AM0:10,73.449999,-142.425,0.0,top
AM0:11,92.499999,-142.425,0.0,top
AM0:12,111.549999,-142.425,0.0,top
AM0:13,130.599999,-142.425,0.0,top
AM0:14,52.018749,-161.475,0.0,top
AM0:15,78.212499,-161.475,0.0,top
AM0:2,102.024999,-94.8,0.0,top
AM0:3,121.074999,-94.8,0.0,top
AM0:4,44.874999,-123.375,0.0,top
AM0:5,63.924999,-123.375,0.0,top
AM0:6,82.974999,-123.375,0.0,top
AM0:7,102.024999,-123.375,0.0,top
AM0:8,121.074999,-123.375,0.0,top
AM0:9,49.637499,-142.425,0.0,top
AM1,116.312499,-171.54375,270.0,bottom
AM1:0,97.262499,-161.475,0.0,top
AM1:1,116.312499,-161.475,0.0,top
AM1:10,163.937499,-180.525,0.0,top
AM1:11,182.987499,-180.525,0.0,top
AM1:12,47.256249,-199.575,0.0,top
AM1:13,71.068749,-199.575,0.0,top
AM1:14,94.881249,-199.575,0.0,top
AM1:15,166.318749,-199.575,0.0,top
AM1:2,135.362499,-161.475,0.0,top
AM1:3,154.412499,-161.475,0.0,top
AM1:4,173.462499,-161.475,0.0,top
AM1:5,56.781249,-180.525,0.0,top
AM1:6,87.737499,-180.525,0.0,top
AM1:7,106.787499,-180.525,0.0,top
AM1:8,125.837499,-180.525,0.0,top
AM1:9,144.887499,-180.525,0.0,top
AM2,187.749999,-133.225,270.0,bottom
AM2:0,140.124999,-94.8,0.0,top
AM2:1,168.699999,-94.8,0.0,top
AM2:10,149.649999,-142.425,0.0,top
AM2:11,168.699999,-142.425,0.0,top
AM2:12,187.749999,-142.425,0.0,top
AM2:13,206.799999,-142.425,0.0,top
AM2:14,225.849999,-142.425,0.0,top
AM2:2,187.749999,-94.8,0.0,top
AM2:3,206.799999,-94.8,0.0,top
AM2:4,225.849999,-94.8,0.0,top
AM2:5,140.124999,-123.375,0.0,top
AM2:6,159.174999,-123.375,0.0,top
AM2:7,178.224999,-123.375,0.0,top
AM2:8,197.274999,-123.375,0.0,top
AM2:9,216.324999,-123.375,0.0,top
AM3,249.662499,-171.975,270.0,bottom
AM3:0,211.562499,-161.475,0.0,top
AM3:1,230.612499,-161.475,0.0,top
AM3:10,309.193749,-199.575,0.0,top
AM3:11,192.512499,-161.475,0.0,top
AM3:2,202.037499,-180.525,0.0,top
AM3:3,221.087499,-180.525,0.0,top
AM3:4,240.137499,-180.525,0.0,top
AM3:5,259.187499,-180.525,0.0,top
AM3:6,294.906249,-180.525,0.0,top
AM3:7,237.756249,-199.575,0.0,top
AM3:8,261.568749,-199.575,0.0,top
AM3:9,285.381249,-199.575,0.0,top
AM4,273.474999,-132.9,270.0,bottom
AM4:0,254.424999,-94.8,0.0,top
AM4:1,273.474999,-94.8,0.0,top
